Artikel-Nr.,  Artikelbezeichnung,EAN-Code,Preis Netto €,UVP (inkl. MwSt)  € ,Bestell Menge
,Lippen,,,,
,,,,,
,,,,,
101-01,Intensive Lippenpflege + Volumen,4019954101011,7.16,14.40,
,,,,,
,,,,,
,,,,,
,,,,,
102-01,Lippenstift Pure Mat Nr. 01,4019954102018,6.10,12.20,
,,,,,
,,,,,
102-04-T,Lippenstift Pure Mat Tester Nr. 04,4019954900058,2.60,,
,,,,,
,,,,,
102-08,Lippenstift Pure Mat Nr. 08,4019954102087,6.10,12.20,
,,,,,
,,,,,
102-08-T,Lippenstift Pure Mat Tester Nr. 08,4019954900096,2.60,,
,,,,,
,,,,,
102-11,Lippenstift Pure Mat Nr. 11,4019954102117,6.10,12.20,
,,,,,
,,,,,
102-11-T,Lippenstift Pure Mat Tester Nr. 11,4019954900119,2.60,,
,,,,,
,,,,,
102-13-T,Lippenstift Pure Mat Tester Nr. 13,4019954900133,2.60,,
,,,,,
,,,,,
,,,,,
,,,,,
103-02,Lippenstift Electric Nr. 02,4019954103022,7.05,14.10,
,,,,,
,,,,,
103-03,Lippenstift Electric Nr. 03,4019954103039,7.05,14.10,
,,,,,
,,,,,
103-03-T,Lippenstift Electric Tester Nr. 03,4019954900164,3.06,,
,,,,,
,,,,,
103-04,Lippenstift Electric Nr. 04,4019954103046,7.05,14.10,
,,,,,
,,,,,
103-04-T,Lippenstift Electric Tester Nr. 04,4019954900171,3.06,,
,,,,,
,,,,,
103-05-T,Lippenstift Electric Tester Nr. 05,4019954900188,3.06,,
,,,,,
,,,,,
103-07,Lippenstift Electric Nr. 07,4019954103077,7.05,14.10,
,,,,,
,,,,,
103-07-T,Lippenstift Electric Tester Nr. 07,4019954900201,3.06,,
,,,,,
,,,,,
103-08,Lippenstift Electric Nr. 08,4019954103084,7.05,14.10,
,,,,,
,,,,,
103-09-T,Lippenstift Electric Tester Nr. 09,4019954900225,3.06,,
,,,,,
,,,,,
103-10-T,Lippenstift Electric Tester Nr. 10,4019954900232,3.06,,
,,,,,
,,,,,
103-12,Lippenstift Electric Nr. 12,4019954103121,7.05,14.10,
,,,,,
,,,,,
103-12-T,Lippenstift Electric Tester Nr. 12,4019954909716,3.06,,
,,,,,
,,,,,
103-17,Lippenstift Electric Nr. 17,4019954103176,7.05,14.10,
,,,,,
,,,,,
103-17-T,Lippenstift Electric Tester Nr. 17,4019954900249,3.06,,
,,,,,
,,,,,
103-18,Lippenstift Electric Nr. 18,4019954103183,7.05,14.10,
,,,,,
,,,,,
,,,,,
,,,,,
104-01,Lippenstift Perfect Mat Nr. 01,4019954104012,7.00,14.00,
,,,,,
,,,,,
104-01-T,Lippenstift Perfect Mat Tester Nr.01,4019954910071,3.05,,
,,,,,
,,,,,
104-02,Lippenstift Perfect Mat Nr. 02,4019954104029,7.00,14.00,
,,,,,
,,,,,
104-02-T,Lippenstift Perfect Mat Tester Nr.02,4019954910156,3.05,,
,,,,,
,,,,,
104-03,Lippenstift Perfect Mat Nr. 03,4019954104036,7.00,14.00,
,,,,,
,,,,,
104-03-T,Lippenstift Perfect Mat Tester Nr.03,4019954910163,3.05,,
,,,,,
,,,,,
104-04,Lippenstift Perfect Mat Nr. 04,4019954104043,7.00,14.00,
,,,,,
,,,,,
104-04-T,Lippenstift Perfect Mat Tester Nr.04,4019954910170,3.05,,
,,,,,
,Lippen,,,,
,,,,,
104-05,Lippenstift Perfect Mat Nr. 05,4019954104050,7.00,14.00,
,,,,,
,,,,,
104-05-T,Lippenstift Perfect Mat Tester Nr.05,4019954910187,3.05,,
,,,,,
,,,,,
104-06,Lippenstift Perfect Mat Nr. 06,4019954104067,7.00,14.00,
,,,,,
,,,,,
104-06-T,Lippenstift Perfect Mat Tester Nr.06,4019954910194,3.05,,
,,,,,
,,,,,
104-07,Lippenstift Perfect Mat Nr. 07,4019954104074,7.00,14.00,
,,,,,
,,,,,
104-07-T,Lippenstift Perfect Mat Tester Nr.07,4019954910262,3.05,,
,,,,,
,,,,,
,,,,,
,,,,,
106-01,Lippenstift Lip Couture Nr. 01,4019954106016,9.45,18.90,
,,,,,
,,,,,
106-01-T,Lippenstift Lip Couture Tester Nr. 01,4019954900263,3.29,,
,,,,,
,,,,,
106-02,Lippenstift Lip Couture Nr. 02,4019954106023,9.45,18.90,
,,,,,
,,,,,
106-02-T,Lippenstift Lip Couture Tester Nr. 02,4019954900270,3.29,,
,,,,,
,,,,,
106-04,Lippenstift Lip Couture Nr. 04,4019954106047,9.45,18.90,
,,,,,
,,,,,
106-04-T,Lippenstift Lip Couture Tester Nr. 04,4019954900294,3.29,,
,,,,,
,,,,,
106-05,Lippenstift Lip Couture Nr. 05,4019954106054,9.45,18.90,
,,,,,
,,,,,
106-05-T,Lippenstift Lip Couture Tester Nr. 05,4019954900300,3.29,,
,,,,,
,,,,,
106-06,Lippenstift Lip Couture Nr. 06,4019954106061,9.45,18.90,
,,,,,
,,,,,
106-06-T,Lippenstift Lip Couture Tester Nr. 06,4019954900317,3.29,,
,,,,,
,,,,,
106-07,Lippenstift Lip Couture Nr. 07,4019954106078,9.45,18.90,
,,,,,
,,,,,
106-07-T,Lippenstift Lip Couture Tester Nr. 07,4019954900324,3.29,,
,,,,,
,,,,,
106-09,Lippenstift Lip Couture Nr. 09,4019954106092,9.45,18.90,
,,,,,
,,,,,
106-09-T,Lippenstift Lip Couture Tester Nr. 09,4019954900348,3.29,,
,,,,,
,,,,,
106-10,Lippenstift Lip Couture Nr. 10,4019954106108,9.45,18.90,
,,,,,
,,,,,
106-10-T,Lippenstift Lip Couture Tester Nr. 10,4019954900355,3.29,,
,,,,,
,,,,,
106-11,Lippenstift Lip Couture Nr. 11,4019954106115,9.45,18.90,
,,,,,
,,,,,
106-11-T,Lippenstift Lip Couture Tester Nr. 11,4019954900362,3.29,,
,,,,,
,,,,,
106-12,Lippenstift Lip Couture Nr. 12,4019954106122,9.45,18.90,
,,,,,
,,,,,
106-12-T,Lippenstift Lip Couture Tester Nr. 12,4019954900379,3.29,,
,,,,,
,,,,,
106-13,Lippenstift Lip Couture Nr. 13,4019954106139,9.45,18.90,
,,,,,
,,,,,
106-13-T,Lippenstift Lip Couture Tester Nr. 13,4019954908702,3.29,,
,,,,,
,,,,,
106-14,Lippenstift Lip Couture Nr. 14,4019954106146,9.45,18.90,
,,,,,
,,,,,
106-14-T,Lippenstift Lip Couture Tester Nr. 14,4019954908719,3.29,,
,,,,,
,,,,,
106-15,Lippenstift Lip Couture Nr. 15,4019954106153,9.45,18.90,
,,,,,
,,,,,
106-15-T,Lippenstift Lip Couture Tester Nr. 15,4019954908726,3.29,,
,,,,,
,,,,,
106-16,Lippenstift Lip Couture Nr. 16,4019954106160,9.45,18.90,
,,,,,
,,,,,
106-17,Lippenstift Lip Couture Nr. 17,4019954106177,9.45,18.90,
,,,,,
,,,,,
106-18,Lippenstift Lip Couture Nr. 18,4019954106184,9.45,18.90,
,,,,,
,Lippen,,,,
,,,,,
106-18-T,Lippenstift Lip Couture Tester Nr. 18,4019954910200,3.29,,
,,,,,
,,,,,
106-19,Lippenstift Lip Couture Nr. 19,4019954106191,9.45,18.90,
,,,,,
,,,,,
106-19-T,Lippenstift Lip Couture Tester Nr. 19,4019954910217,3.29,,
,,,,,
,,,,,
106-20,Lippenstift Lip Couture Nr. 20,4019954106207,9.45,18.90,
,,,,,
,,,,,
106-20-T,Lippenstift Lip Couture Tester Nr. 20,4019954910224,3.29,,
,,,,,
,,,,,
106-21,Lippenstift Lip Couture Nr. 21,4019954106214,9.45,18.90,
,,,,,
,,,,,
106-21-T,Lippenstift Lip Couture Tester Nr. 21,4019954910231,3.29,,
,,,,,
,,,,,
106-22,Lippenstift Lip Couture Nr. 22,4019954106221,9.45,18.90,
,,,,,
,,,,,
106-22-T,Lippenstift Lip Couture Tester Nr. 22,4019954910248,3.29,,
,,,,,
,,,,,
106-23,Lippenstift Lip Couture Nr. 23,4019954106238,9.45,18.90,
,,,,,
,,,,,
106-23-T,Lippenstift Lip Couture Tester Nr. 23,4019954910255,3.29,,
,,,,,
,,,,,
,,,,,
,,,,,
107-01,Lippenstift Color Passion Nr. 01,4019954107013,5.09,10.20,
,,,,,
,,,,,
107-01-T,Lippenstift Color Passion Tester  Nr. 01,4019954900386,3.18,,
,,,,,
,,,,,
107-02,Lippenstift Color Passion Nr. 02,4019954107020,5.09,10.20,
,,,,,
,,,,,
107-02-T,Lippenstift Color Passion Tester  Nr. 02,4019954900393,3.18,,
,,,,,
,,,,,
